T_K,shear_rate_1_per_s,viscosity_Pa_s
503.15,0.01,111505424.81026562
503.15,0.011689518164985783,116254406.13071793
503.15,0.013664483492953256,118007591.68337926
503.15,0.01597312280060254,119499475.86721276
503.15,0.018671810912919196,119939856.52264336
503.15,0.02182644728397487,120229152.4915923
503.15,0.025514065200312887,116205580.3567018
503.15,0.02982471286216891,115805239.70630866
503.15,0.03486365227678084,120456741.12434986
503.15,0.040753929658717776,116760045.42676125
503.15,0.047639380104013404,112939668.50188854
503.15,0.0556881399094527,113441237.46800008
503.15,0.0650967523045817,114194435.73163937
503.15,0.07609496685459875,119184970.70127846
503.15,0.08895134973108237,117934957.53586997
503.15,0.103979841848149,119865380.02252065
503.15,0.12154742500762866,115927092.18949996
503.15,0.14208308325339225,117990104.9035544
503.15,0.16608827826277156,119634508.85678686
503.15,0.19414919457438806,116339485.67677289
503.15,0.22695105366946683,119036598.408681
503.15,0.26529484644318957,115093179.18836877
503.15,0.3101168926574778,116142677.49881859
503.15,0.3625117049988534,116072281.90088813
503.15,0.4237587160604063,113198501.87664416
503.15,0.495353520895917,119117135.51271844
503.15,0.5790443980602485,115737091.76867838
503.15,0.6768750009458534,117418071.0013584
503.15,0.7912342618981322,119044582.57356986
503.15,0.9249147277217334,118893715.87818429
503.15,1.0811807510766076,119622271.14886276
503.15,1.2638482029342983,116879046.77529378
503.15,1.4773776525985112,115661814.56014779
503.15,1.7269832906594342,116766376.76405098
503.15,2.018760254679039,110988473.54133998
503.15,2.3598334667821934,111649670.85618253
503.15,2.758531617629184,111839756.73160872
503.15,3.2245905452963948,112643703.6313684
503.15,3.7693909753883594,117046288.04500823
503.15,4.406236427773573,111926469.54419509
503.15,5.150678076168122,112958973.6432572
503.15,6.020894493336131,117636812.9045213
503.15,7.0381355549315545,110713097.65995185
503.15,8.227241341700465,112705532.32595675
503.15,9.617248711152964,105225194.7264755
503.15,11.242100350620861,105211650.66575003
503.15,13.141473626117566,100151713.53593838
503.15,15.361749466718281,98947108.39501688
503.15,17.95714494371641,98972193.60441776
503.15,20.991037201085543,88069345.23305793
503.15,24.537511066398167,90231992.93160191
503.15,28.683168133420118,85785656.93757224
503.15,33.529241492495565,79820282.80524147
503.15,39.19406774847221,74039374.33494893
503.15,45.815976690544915,73763141.00555696
503.15,53.55666917706896,68808661.66686237
503.15,62.60516572014822,66826637.24527069
503.15,73.18242219076174,62989747.667791426
503.15,85.54672535565685,62548920.78885965
503.15,100.0,56157155.63541606
